aus_time,home_team,home_score,away_score,away_team,home_win_odds,draw_odds,away_win_odds,n_bookies
05:35,Cardiff Rugby,21,19,Ulster,2.52,23.00,1.59,12
05:35,Connacht,31,7,Dragons,1.07,43.73,9.21,12
03:15,Leinster,24,6,Lions,1.06,44.00,9.55,12
01:00,Ospreys,22,13,Edinburgh,2.01,22.73,1.90,12
01:00,Sharks,41,24,Munster,1.24,28.27,4.42,12
22:45,Stormers,17,28,Glasgow Warriors,1.50,23.64,2.78,12
05:35,Benetton,15,17,Bulls,1.88,21.18,2.04,12
05:35,Scarlets,30,8,Zebre,1.07,44.27,8.72,12
05:35,Connacht,12,33,Leinster,3.19,23.10,1.41,11
05:35,Dragons,21,31,Benetton,3.14,23.50,1.42,11
03:15,Edinburgh,27,8,Cardiff Rugby,1.12,39.50,6.67,11
03:00,Stormers,34,19,Munster,1.59,23.70,2.50,11
00:45,Sharks,28,24,Glasgow Warriors,1.35,27.90,3.47,11
22:30,Zebre,9,10,Lions,5.24,34.30,1.18,11
05:35,Scarlets,23,22,Bulls,4.41,29.50,1.24,11
05:35,Ulster,36,12,Ospreys,1.07,39.80,9.40,11
00:30,Dragons,19,23,Lions,3.60,28.60,1.33,11
06:00,Ulster,32,27,Connacht,1.66,24.30,2.34,11
05:35,Ospreys,19,29,Bulls,3.28,25.50,1.38,11
03:45,Leinster,26,12,Munster,1.13,36.80,6.53,11
03:15,Edinburgh,38,7,Stormers,1.56,23.30,2.61,11
01:00,Benetton,38,10,Sharks,1.67,23.30,2.34,11
01:00,Cardiff Rugby,19,25,Scarlets,1.47,24.90,2.88,11
05:35,Glasgow Warriors,33,3,Zebre,1.02,57.90,17.60,11
05:35,Munster,23,0,Ospreys,1.13,34.80,6.42,11
05:35,Zebre,5,36,Stormers,3.83,28.90,1.30,11
03:15,Benetton,5,35,Leinster,8.49,39.10,1.08,11
03:15,Dragons,30,33,Sharks,3.55,26.30,1.33,11
00:00,Bulls,47,21,Ulster,1.06,47.30,9.35,11
21:45,Lions,55,21,Edinburgh,1.33,27.00,3.59,11
04:35,Cardiff Rugby,36,52,Glasgow Warriors,3.22,26.90,1.39,11
04:35,Scarlets,23,24,Connacht,3.34,25.50,1.37,11
04:35,Connacht,36,30,Sharks,1.36,24.60,3.45,11
04:35,Ospreys,37,24,Stormers,2.04,21.50,1.89,11
02:15,Scarlets,15,24,Cardiff Rugby,1.73,23.90,2.23,11
00:00,Zebre,42,33,Munster,6.24,37.10,1.14,11
23:00,Bulls,22,16,Edinburgh,1.29,28.90,3.86,11
20:55,Lions,35,22,Ulster,1.52,24.33,2.67,11
04:35,Glasgow Warriors,42,10,Benetton,1.16,35.60,5.84,11
04:35,Leinster,34,6,Dragons,1.02,62.57,19.89,11
04:45,Ulster,20,19,Glasgow Warriors,2.07,21.31,1.85,11
04:35,Benetton,20,20,Scarlets,1.17,36.60,5.44,11
02:30,Munster,35,33,Connacht,1.24,29.08,4.40,11
00:00,Dragons,23,21,Ospreys,3.82,28.40,1.30,11
04:35,Cardiff Rugby,22,17,Zebre,1.08,43.00,8.89,11
04:35,Edinburgh,31,33,Leinster,2.98,25.10,1.44,11
